,N1,N2,N3,N4,N5,Powerball
12,17,18,21,49,52,22
16,1,2,8,17,52,22
17,6,16,21,24,35,25
25,12,20,42,52,62,25
47,14,18,40,43,64,22
49,26,28,37,42,49,22
58,10,13,16,17,48,25
2,6,9,11,50,67,24
10,7,8,41,58,64,22
15,6,10,39,40,46,25
25,11,26,32,46,51,19
35,4,5,30,35,61,21
42,7,12,15,33,39,22
45,7,21,33,34,69,25
60,12,15,25,42,44,19
61,4,5,16,26,49,24
62,10,14,25,56,59,18
6,9,11,34,47,69,24
21,1,5,21,29,52,23
24,5,14,23,31,51,22
38,5,12,21,36,67,18
40,5,15,19,33,35,18
45,9,20,31,45,46,23
51,1,6,49,55,61,19
52,20,34,38,47,54,21
56,3,6,15,29,64,23
59,2,8,30,55,59,19
61,1,16,26,48,53,24
2,19,20,26,34,37,23
10,6,16,39,45,47,22
16,10,14,23,62,69,24
17,12,21,27,47,54,19
21,21,23,32,48,52,24
31,6,17,30,35,54,25
32,11,22,27,38,62,23
41,1,7,14,45,51,25
46,8,19,24,41,69,21
50,4,8,11,15,68,23
52,14,28,47,54,65,25
53,8,14,29,37,64,23
56,5,19,26,35,65,24
61,8,15,19,30,41,22
62,14,16,21,45,54,20
28,4,16,29,33,54,24
32,28,30,34,40,61,21
46,18,29,36,54,55,25
56,6,13,24,58,60,22
60,5,11,13,52,54,25
62,20,23,28,29,46,22
2,4,19,26,29,32,20
8,1,19,27,29,44,21
20,8,9,15,32,61,20
29,7,8,30,43,54,20
32,1,6,9,49,65,24
36,1,5,16,46,49,23
39,3,25,27,41,55,22
40,3,5,22,46,69,20
46,14,22,26,37,38,18
53,34,38,44,53,65,25
60,21,24,29,35,49,18
62,11,20,46,58,68,21
6,6,26,39,46,55,24
7,3,8,18,26,57,21
17,3,33,40,60,61,24
21,10,21,31,35,60,24
22,9,10,21,37,49,24
24,10,21,34,42,63,24
27,9,20,30,33,56,25
40,7,9,15,24,44,23
41,1,2,8,27,47,18
57,7,21,24,30,61,25
0,5,19,27,41,48,22
2,33,37,39,52,69,24
12,8,30,33,38,52,22
16,9,11,39,41,54,21
23,9,15,32,35,38,24
29,18,28,30,43,46,17
32,9,21,36,52,59,24
34,2,20,38,48,56,21
35,13,20,39,46,53,23
40,2,24,32,33,39,23
45,15,16,26,35,46,24
51,6,8,10,50,52,25
57,7,14,38,46,60,24
7,12,13,27,33,50,21
9,6,10,23,43,60,20
17,3,21,23,26,44,25
28,2,20,29,32,46,25
31,1,6,38,40,49,24
41,3,13,25,33,37,23
43,35,38,39,40,41,23
44,11,14,46,51,62,23
58,10,24,42,49,60,22
1,17,19,41,54,66,20
11,15,22,33,50,56,23
13,1,13,30,33,47,22
16,9,15,36,56,67,21
21,19,25,32,42,47,24
22,5,13,18,34,38,20
24,13,22,26,45,53,21
33,4,10,52,65,67,21
43,11,25,31,40,66,24
48,3,9,24,36,52,21
53,2,8,10,33,48,21
62,8,14,36,42,48,20
64,3,11,23,26,30,22
1,7,9,11,32,69,21
2,5,8,14,54,63,17
3,4,20,28,37,58,23
16,6,16,22,40,56,25
25,7,12,22,28,63,19
28,1,12,41,46,49,18
36,2,17,19,48,68,24
37,3,7,28,34,54,19
38,1,14,36,53,59,18
46,3,4,22,31,47,25
47,24,25,32,42,61,21
58,9,12,16,64,68,18
3,4,14,18,43,64,24
4,23,27,42,52,54,24
11,14,20,24,32,53,25
16,22,25,35,38,63,23
24,8,13,25,41,44,21
27,9,10,25,46,56,22
33,11,23,41,49,55,19
43,19,32,37,55,57,24
46,5,21,26,30,47,24
51,15,16,38,42,53,25
52,6,12,17,25,69,24
54,3,26,34,40,43,23
58,24,28,31,40,48,22
6,5,14,53,56,57,22
18,14,20,22,32,42,21
21,5,13,45,47,63,22
29,9,16,35,56,58,21
36,5,27,37,48,68,25
38,19,20,32,48,61,24
47,7,20,24,40,49,25
51,8,17,18,34,47,23
52,7,22,30,43,61,25
64,17,25,33,43,52,22
9,1,4,11,23,64,20
13,6,25,36,45,68,22
16,6,14,36,44,66,22
18,2,6,8,30,53,24
27,9,12,14,29,54,20
31,6,13,29,43,45,22
39,18,34,49,57,62,24
45,9,15,41,42,69,19
60,10,23,33,41,46,19
61,19,30,32,37,55,23
62,3,22,43,52,57,18
11,16,20,36,47,64,18
16,17,26,40,49,52,20
27,3,12,25,37,47,24
30,10,11,12,38,47,22
35,13,27,40,47,48,23
52,6,12,18,20,42,25
58,2,11,15,60,62,22
0,13,18,44,51,57,24
24,1,16,23,40,50,22
37,4,7,23,35,68,18
41,10,16,26,45,69,21
44,14,15,22,56,60,23
47,13,24,32,54,61,21
56,9,10,48,51,59,24
58,4,10,26,29,44,22
0,16,25,31,60,65,20
4,2,7,35,62,66,22
14,17,26,44,60,67,25
21,4,10,13,30,62,24
23,2,4,6,12,39,21
40,2,20,32,33,54,22
45,11,17,43,50,68,25
46,2,6,23,26,49,22
50,5,9,42,51,66,22
53,4,6,15,51,53,24
58,20,29,43,59,60,24
63,1,16,18,25,29,24
0,12,15,16,59,66,22
6,14,21,38,48,49,25
9,3,8,34,40,66,22
24,8,25,38,53,62,24
32,22,33,40,46,51,23
40,20,24,33,38,48,25
46,3,11,46,47,69,23
47,12,13,27,55,64,25
51,9,16,31,45,56,22
52,3,13,22,33,48,23
2,21,24,35,37,49,23
4,4,27,46,61,65,22
5,6,22,26,49,54,24
23,19,22,31,51,65,21
29,18,19,49,52,63,25
33,3,10,17,38,65,21
34,11,14,21,25,46,19
36,12,14,27,32,46,22
37,5,6,27,40,45,21
44,6,17,29,49,63,25
51,7,11,43,62,67,24
58,1,9,15,29,54,20
61,6,11,12,41,52,20
6,9,13,22,32,46,25
15,3,4,10,20,69,19
16,14,25,41,42,44,24
23,5,9,35,37,60,21
28,12,31,35,49,55,19
29,7,20,33,43,58,21
33,7,13,50,51,55,20
46,3,9,14,15,40,21
52,15,43,45,53,62,23
55,4,12,33,34,35,21
58,10,31,37,39,62,22
60,23,27,31,40,43,22
8,8,9,19,25,26,22
10,2,5,15,37,49,22
11,9,21,32,41,48,24
14,7,13,26,38,54,19
16,1,5,12,18,34,19
33,2,37,39,51,59,22
36,10,18,33,53,55,19
40,4,5,9,51,62,22
48,1,3,9,37,47,22
56,8,9,20,23,31,21
58,12,18,40,42,55,17
64,7,9,11,46,49,25
11,6,8,20,29,32,21
13,6,11,33,36,52,23
16,4,22,34,39,59,24
21,13,28,44,57,66,23
34,23,26,38,41,63,24
35,10,11,25,39,45,24
40,24,30,31,39,54,25
58,5,7,22,24,32,25
62,18,20,37,47,55,21
63,4,13,14,30,68,18
1,10,19,41,51,57,20
2,12,16,24,45,48,21
10,4,14,15,26,28,25
16,4,13,17,18,46,23
32,11,13,14,21,55,24
36,9,18,39,45,65,23
46,15,16,28,39,55,23
49,4,7,19,33,57,25
50,3,16,17,56,67,24
19,4,5,20,21,36,24
22,22,28,35,36,63,21
26,5,23,37,46,50,22
27,4,21,23,55,61,19
29,4,11,26,43,64,24
31,18,20,28,29,41,23
32,9,28,34,35,67,24
36,17,23,37,60,63,24
38,2,18,21,34,57,22
42,2,11,31,35,43,22
46,1,3,20,35,69,21
48,7,10,13,18,37,25
53,2,18,27,48,61,23
55,18,29,34,48,69,24
62,13,25,33,34,46,23
2,4,17,40,52,56,25
3,3,4,11,13,53,18
15,21,31,38,47,58,22
16,20,24,39,53,61,21
18,7,9,16,47,58,22
32,11,15,23,26,27,19
33,16,18,21,31,33,20
40,1,8,9,64,68,20
47,17,28,52,54,57,25
48,7,24,38,46,49,23
58,11,13,14,29,53,25
2,3,23,41,56,67,18
5,9,24,39,51,67,25
9,7,25,33,61,67,24
19,10,12,30,35,55,23
24,5,7,26,27,51,20
32,3,8,12,32,59,23
35,1,9,22,28,41,21
36,10,26,33,39,45,21
47,29,33,34,47,62,23
53,1,6,7,10,54,22
59,19,32,36,38,48,25
4,4,14,31,49,66,19
10,12,13,29,35,49,18
13,10,23,24,29,33,21
18,4,19,23,38,45,24
35,18,20,31,38,56,17
44,4,6,45,68,69,24
45,12,26,27,30,43,16
50,1,10,41,42,54,21
53,10,13,22,29,40,19
58,11,14,19,28,38,23
62,1,2,4,16,45,24
63,7,29,38,41,46,20
4,7,9,18,27,61,22
5,16,19,27,64,68,25
9,1,27,39,43,56,19
30,2,22,35,52,54,21
43,5,8,18,25,31,24
50,19,25,30,51,53,24
55,2,7,20,30,59,22
56,18,20,29,44,60,25
58,3,7,14,46,47,25
2,10,22,23,33,45,25
13,5,21,24,28,54,25
17,8,15,26,45,64,20
26,7,13,34,65,69,21
46,14,17,31,42,65,21
49,15,16,29,30,53,21
52,13,17,27,39,60,24
56,8,27,28,50,69,19
61,4,19,22,33,52,23
9,12,16,41,47,52,22
10,11,14,28,34,62,22
16,1,6,19,47,62,23
21,8,26,36,53,58,22
29,16,29,39,45,54,23
41,1,4,12,26,48,24
43,4,10,24,44,53,22
44,3,6,37,39,44,24
47,22,23,31,57,68,20
56,7,13,28,61,66,17
1,1,15,32,44,65,16
2,2,15,30,34,55,22
3,21,27,28,39,60,25
4,6,23,29,50,57,22
7,4,13,29,32,69,19
16,8,15,26,44,66,20
29,1,9,21,36,56,17
30,2,8,11,51,68,14
31,8,13,32,53,64,17
38,6,11,25,35,52,21
40,2,11,31,51,65,17
44,7,9,16,34,53,22
46,2,9,22,33,57,18
48,16,32,34,46,61,25
53,2,3,17,47,58,23
55,13,25,31,42,59,22
2,18,26,44,46,51,25
8,4,21,24,51,67,19
18,6,27,41,46,65,23
26,8,10,25,59,61,20
36,13,21,41,62,69,22
39,25,26,40,42,55,22
52,3,11,15,39,60,22
61,2,4,19,35,68,21
64,17,31,32,34,62,24
12,12,13,16,35,46,18
26,1,2,7,52,64,17
27,3,7,9,12,52,23
36,4,15,32,46,48,23
38,8,13,45,51,53,21
46,9,14,19,38,66,20
50,9,28,36,42,49,21
52,3,6,34,49,51,19
54,12,21,24,37,58,19
57,21,23,39,42,53,19
2,17,23,29,36,48,25
3,5,20,38,49,65,24
20,6,34,35,38,49,24
22,4,8,15,46,65,25
32,11,13,37,42,51,22
33,9,17,24,63,67,23
44,9,18,43,49,69,23
54,23,26,35,51,65,19
64,2,13,35,37,53,21
4,2,29,30,38,48,25
7,12,20,26,33,67,16
12,4,18,26,42,47,20
21,11,15,21,26,34,25
24,4,12,36,39,65,24
32,5,13,31,33,34,24
48,12,30,37,61,64,25
49,10,11,13,45,46,17
27,1,15,21,44,52,22
29,5,6,13,43,52,22
31,2,13,27,37,60,18
35,12,17,38,49,60,20
38,3,22,41,47,48,25
41,2,7,22,33,49,18
49,13,17,28,47,67,21
56,13,32,34,42,58,21
58,24,28,34,40,54,25
1,5,8,31,44,46,21
5,13,17,35,52,62,19
21,8,17,24,31,50,22
24,7,26,29,31,53,25
35,5,18,19,33,52,23
53,2,11,31,47,52,19
59,2,8,25,28,37,24
61,5,9,10,25,56,16
63,7,15,27,34,36,24
20,29,30,38,50,53,23
22,6,8,18,39,59,24
26,2,5,9,38,46,25
31,6,23,29,30,44,25
32,26,33,39,43,59,18
33,3,4,18,30,49,24
36,10,13,18,42,45,23
43,4,12,22,28,42,24
48,14,24,26,30,48,18
53,14,16,37,46,60,22
59,3,4,12,34,41,20
23,2,29,33,43,69,22
27,1,6,26,36,58,22
33,1,5,9,39,65,19
36,9,23,26,31,46,24
38,1,7,12,29,52,16
42,8,18,24,25,31,19
46,8,9,10,38,39,25
48,13,21,37,53,57,24
53,3,25,30,35,50,24
0,8,14,17,18,63,21
1,2,15,24,29,47,17
11,20,21,26,31,59,24
17,2,4,37,53,60,17
18,17,22,30,45,62,23
22,11,13,16,27,38,21
24,7,16,18,19,28,22
26,12,15,17,29,44,20
29,4,22,23,41,55,20
31,12,20,27,35,68,21
44,11,13,46,54,64,18
49,1,10,49,56,69,20
56,1,12,13,43,56,20
61,9,15,28,40,47,18
11,18,19,34,41,43,22
12,31,32,36,41,60,24
15,7,14,43,44,50,19
16,2,16,26,50,51,22
36,2,10,24,29,48,22
42,4,14,15,39,50,25
43,3,11,35,37,67,21
44,4,8,25,35,48,21
48,11,12,38,39,69,19
53,10,22,26,30,39,24
56,5,23,36,55,58,22
58,18,21,28,30,52,20
1,1,15,45,48,66,19
19,3,19,34,44,53,20
20,17,22,38,43,60,24
23,3,16,21,43,53,24
24,8,14,30,38,43,22
27,6,8,10,17,22,24
29,5,12,28,49,64,19
46,3,4,7,16,22,25
2,9,30,36,42,61,22
5,19,30,31,41,46,20
14,17,20,27,40,66,19
15,9,14,31,45,52,22
28,8,14,35,36,45,24
32,15,38,42,43,57,21
43,2,14,16,46,52,24
46,2,10,27,52,60,24
47,1,15,16,54,68,20
48,3,28,32,41,43,25
51,5,9,39,41,50,25
52,5,6,21,38,55,25
53,7,11,42,60,68,18
2,2,6,7,10,34,23
3,1,4,26,54,59,18
19,3,12,41,50,63,22
21,13,23,26,47,57,20
36,10,14,16,27,40,22
37,2,14,31,61,64,20
45,2,11,16,35,36,21
46,1,5,24,49,52,21
55,8,11,36,52,63,24
59,1,3,27,35,65,24
60,8,16,30,36,59,18
61,4,20,29,49,69,23
3,2,11,12,47,52,18
15,4,35,39,47,59,20
19,5,7,23,39,56,17
26,12,15,23,24,34,21
27,17,20,32,35,60,18
28,5,17,42,44,56,19
36,5,13,18,37,42,19
40,14,18,22,33,41,23
45,1,2,9,45,53,17
54,13,15,18,19,62,20
57,2,15,49,50,54,18
58,3,6,22,28,51,24
60,2,3,9,30,44,20
62,1,29,38,49,61,23
63,4,29,48,57,69,24
18,7,8,14,40,45,24
23,8,14,20,38,58,22
24,4,8,15,37,62,23
25,9,11,15,28,54,19
34,9,24,31,44,66,18
39,10,16,26,30,40,25
43,6,11,27,49,59,24
46,12,13,15,43,62,20
47,9,26,28,49,62,24
56,3,7,9,47,65,23
58,3,8,30,52,54,23
3,5,9,22,41,43,24
10,4,5,7,8,34,19
12,6,30,34,36,40,24
34,7,12,16,25,38,21
35,14,16,19,47,63,18
37,14,15,16,51,55,21
41,3,13,30,39,48,24
48,5,9,15,23,52,20
52,6,14,22,32,55,17
55,23,34,41,53,57,22
59,2,10,38,39,51,19
1,12,17,34,42,45,24
3,18,33,43,44,57,25
11,15,20,34,44,60,23
13,2,9,15,38,40,25
27,6,10,20,52,58,21
32,3,10,11,46,64,22
34,7,11,31,40,56,24
46,12,22,27,48,56,20
6,13,31,33,37,59,20
16,9,15,24,25,66,23
23,19,21,36,61,62,24
25,19,22,38,44,56,25
33,4,9,23,54,68,20
35,12,23,27,51,57,20
36,3,16,33,51,66,24
45,21,22,36,50,60,19
58,1,11,26,48,51,25
59,10,23,32,59,66,19
60,2,19,33,40,60,22
62,10,15,19,54,62,21
64,1,17,39,41,58,23
12,5,18,35,37,44,24
17,3,6,22,39,64,17
32,10,12,18,22,62,23
35,3,18,27,31,64,25
38,2,26,29,49,66,25
47,1,3,19,27,30,22
53,2,4,5,29,65,23
63,6,11,18,25,43,22
4,2,6,8,54,62,21
6,13,14,20,45,68,25
7,3,13,18,34,69,16
10,11,14,21,25,40,19
12,5,20,45,52,64,22
24,9,17,21,59,68,22
31,11,29,34,39,42,22
32,13,23,28,42,53,24
33,5,21,44,53,58,19
40,3,15,32,36,52,22
51,3,19,25,40,51,20
53,1,7,13,26,47,21
56,5,23,25,57,63,22
1,10,27,32,47,68,23
27,10,15,25,34,66,22
31,6,7,16,47,51,18
36,14,21,26,35,65,19
38,6,20,31,53,60,25
39,7,11,26,30,67,22
48,4,11,14,38,68,23
53,1,15,30,56,65,23
56,5,7,37,42,45,19
58,4,9,10,11,27,17
64,23,28,33,36,60,24
7,6,28,32,48,60,18
10,24,29,33,50,65,21
12,15,24,30,36,58,21
27,2,5,7,32,39,17
45,6,11,31,33,58,16
46,1,9,10,26,62,23
51,3,7,29,31,43,23
53,2,19,32,47,65,23
57,14,20,45,46,69,25
0,4,8,12,33,59,18
3,1,8,43,58,65,21
15,7,21,31,33,48,25
20,11,19,35,43,65,23
25,4,7,37,38,48,22
33,13,14,41,43,55,23
40,2,10,30,61,63,25
48,20,21,31,62,68,18
52,9,25,36,43,55,23
53,4,10,26,27,62,21
56,6,12,14,27,60,22
57,16,23,33,45,65,20
63,12,25,37,54,67,23
2,4,7,14,39,51,20
11,6,12,28,57,69,22
17,4,9,36,38,63,18
25,7,12,13,26,62,22
31,1,8,24,29,45,18
35,1,17,31,34,68,23
42,5,20,26,27,28,23
43,8,11,13,18,40,24
44,26,35,37,45,52,24
51,7,11,45,57,69,23
52,7,8,17,25,47,24
53,3,21,41,53,61,22
56,2,13,14,54,62,24
58,9,12,43,53,56,19
7,4,9,18,42,50,23
20,10,17,32,40,54,22
21,1,8,14,17,42,24
33,7,16,23,25,36,24
40,3,6,8,47,65,25
46,8,20,30,57,66,24
47,2,37,40,44,46,24
53,13,26,39,42,47,21
63,10,25,28,39,69,21
1,16,25,35,47,55,19
2,9,11,12,17,55,16
3,6,22,32,56,58,25
5,1,20,40,47,67,23
16,1,6,8,23,53,21
19,7,14,17,31,47,24
23,2,4,5,14,53,21
24,14,15,18,33,34,22
29,3,18,28,45,48,22
32,26,36,41,45,48,20
36,3,8,31,47,50,23
39,7,16,39,41,61,25
46,5,7,11,24,46,19
53,4,10,30,34,47,25
2,13,26,36,50,53,24
7,3,11,39,41,55,21
9,1,10,16,41,47,22
10,14,15,25,28,61,20
14,12,27,42,44,45,18
15,9,20,32,48,66,17
22,2,13,14,32,50,21
26,7,28,37,59,68,22
35,13,16,26,38,66,17
61,11,31,43,55,64,24
62,3,16,24,45,54,19
63,6,17,27,37,40,22
1,2,14,38,40,48,21
2,15,18,25,32,57,24
4,18,21,33,44,57,20
8,11,27,31,34,35,23
9,10,15,26,33,41,24
36,2,29,34,52,65,23
40,6,19,32,43,52,25
45,7,15,20,33,56,24
46,11,12,22,50,61,25
58,1,14,15,42,66,18
64,3,8,12,33,46,23
2,4,5,8,22,48,23
7,15,19,26,31,58,22
18,4,9,17,35,58,22
20,12,13,28,34,37,25
33,19,23,30,42,45,22
35,21,39,43,46,53,25
51,17,30,34,47,56,24
53,22,27,29,31,69,17
55,9,19,46,60,63,20
56,3,10,34,53,55,23
57,8,19,22,27,28,25
61,5,7,17,19,57,25
11,3,10,17,47,62,24
20,5,8,21,38,64,22
22,10,13,25,56,68,19
24,15,22,23,30,63,20
33,14,22,24,59,68,17
37,9,13,14,20,40,22
39,6,7,34,47,49,23
40,8,22,28,47,68,24
41,12,17,33,42,61,22
42,6,27,38,44,65,23
49,2,6,39,50,52,19
56,15,23,26,37,41,18
61,16,20,29,53,54,13
0,5,6,13,14,33,23
5,14,25,40,53,55,22
7,3,23,29,45,61,25
16,4,10,16,21,64,19
21,8,27,42,66,69,23
24,1,5,34,44,65,21
37,5,19,24,38,48,21
45,9,28,30,34,35,23
50,16,27,40,58,60,23
51,16,18,56,57,59,24
54,11,13,16,35,47,23
55,7,12,34,35,55,25
61,8,10,29,30,36,24
15,18,19,31,44,58,24
23,11,12,32,38,45,25
32,9,10,24,31,66,20
33,3,6,24,44,50,17
35,4,21,23,34,43,22
36,4,9,26,44,54,23
37,11,22,25,27,46,24
40,3,17,20,24,63,22
43,1,13,17,34,46,24
46,2,5,23,35,49,22
49,10,19,37,44,45,23
50,12,15,40,52,58,18
64,16,17,20,27,35,24
2,29,30,32,40,52,19
11,2,12,45,65,67,24
17,22,29,37,40,49,24
18,13,20,41,54,59,23
40,5,18,19,24,61,20
62,7,12,21,57,62,22
0,1,12,19,23,32,25
7,5,9,11,13,49,25
16,4,18,23,60,62,16
17,1,9,34,36,46,17
19,9,10,21,27,51,22
25,2,11,26,48,62,24
33,2,7,12,37,43,25
35,13,18,28,50,53,21
39,3,8,15,42,69,17
41,7,15,16,22,49,25
46,1,2,6,25,69,21
50,21,30,45,49,55,23
54,7,8,18,35,51,21
7,2,8,33,39,62,19
14,5,6,23,24,50,21
21,9,30,31,50,56,25
24,2,7,19,34,51,23
25,4,5,15,29,69,17
33,11,29,34,35,68,19
39,8,20,39,44,47,25
42,4,8,25,59,67,18
46,15,17,29,37,65,16
53,23,24,26,46,69,25
0,9,36,39,54,55,24
4,5,13,43,45,65,24
19,3,14,25,49,52,19
24,2,16,19,20,22,21
33,9,20,22,34,43,23
43,5,18,25,43,55,21
45,20,23,26,34,69,21
46,11,13,15,27,60,23
58,2,29,41,44,64,22
2,3,8,9,50,60,21
6,8,15,40,55,69,25
11,14,19,40,47,54,25
13,2,8,27,37,39,19
16,4,12,25,48,58,21
20,31,36,39,46,64,25
32,1,2,36,47,69,14
42,6,7,35,50,61,25
45,18,28,29,44,46,25
46,2,6,14,43,48,23
52,3,7,14,36,54,20
0,26,29,38,46,60,24
2,6,16,34,54,57,25
5,9,16,23,37,64,18
6,7,14,24,30,35,20
7,4,17,40,57,66,24
12,3,30,32,33,56,23
16,1,22,26,27,29,25
17,9,11,22,40,55,18
32,10,15,18,39,63,22
35,23,28,29,43,69,20
41,2,21,32,33,49,23
46,8,18,23,42,49,20
48,6,11,23,28,67,20
51,4,9,21,35,53,24
59,7,19,28,52,59,24
61,16,23,54,59,63,24
63,11,13,24,55,61,17
64,12,25,42,45,60,17
3,6,14,16,35,68,18
5,17,19,20,30,55,25
6,7,8,19,37,58,17
18,2,10,11,14,16,23
23,12,27,32,42,65,24
27,2,15,24,33,38,23
36,16,27,36,37,60,24
43,17,21,26,40,64,23
47,3,15,31,40,52,22
53,3,9,13,18,19,24
2,12,29,42,47,56,19
6,15,17,21,30,67,24
15,11,26,34,46,55,21
16,10,22,26,29,66,24
30,2,4,8,58,62,22
34,14,17,28,43,50,20
36,1,9,16,29,42,23
44,8,11,19,39,67,21
45,10,23,39,58,63,21
46,6,15,16,34,46,25
50,8,19,26,44,61,21
54,13,15,39,45,62,23
4,2,10,21,48,55,23
6,6,28,29,38,45,25
12,7,21,33,36,38,25
29,2,8,19,20,25,24
45,7,9,20,23,61,21
47,32,34,39,46,65,21
56,4,19,37,40,49,21
64,4,17,26,38,54,20
2,14,17,32,40,63,16
5,12,22,24,31,67,19
6,4,8,14,30,67,19
9,27,28,29,35,61,19
12,5,11,47,48,65,21
16,7,19,23,41,46,16
20,4,30,36,45,68,22
35,11,25,30,40,59,21
45,27,38,46,48,54,22
46,21,32,36,38,64,20
49,23,26,30,45,46,14
51,2,3,6,29,65,19
52,6,16,25,36,39,23
56,4,13,18,27,41,23
61,6,11,13,32,61,18
62,24,42,43,45,46,25
3,2,13,44,52,68,21
5,12,21,42,45,48,22
16,21,29,33,35,60,18
20,3,8,24,40,67,25
33,4,5,9,35,45,24
40,17,19,28,35,64,25
41,7,17,22,24,66,20
46,5,30,33,62,67,24
52,8,12,42,44,51,22
58,1,18,35,48,56,23
61,11,17,28,34,59,25
2,1,26,44,46,62,20
17,2,13,16,48,69,24
24,4,5,9,13,28,18
32,3,34,37,48,50,21
41,7,27,35,65,68,25
43,11,24,41,44,47,25
48,33,36,39,44,61,23
57,12,18,32,60,62,24
28,6,12,21,47,50,24
29,3,19,44,45,49,22
33,22,23,31,35,55,14
40,4,37,39,47,49,25
42,5,21,32,36,63,25
54,1,8,32,48,68,25
63,17,26,36,38,60,20
5,14,16,25,40,57,21
14,2,11,40,44,68,20
37,4,7,10,34,43,21
42,16,18,22,23,53,24
44,10,19,34,38,45,24
46,3,18,46,62,64,24
50,10,16,21,40,51,19
55,7,18,23,40,60,21
58,2,5,20,38,59,18
60,27,30,31,36,44,25
4,7,12,22,35,45,18
13,28,29,31,32,37,20
16,4,11,28,30,36,22
18,9,25,36,48,54,22
23,2,10,28,62,64,25
29,8,11,22,30,50,25
33,21,25,31,61,66,22
36,1,2,11,13,19,20
43,4,8,16,43,47,20
51,5,31,46,48,58,25
54,5,15,16,25,47,24
56,3,16,45,55,60,21
63,10,32,38,39,46,20
4,2,26,37,53,61,22
11,6,24,35,55,59,23
12,1,2,29,36,65,22
16,4,9,19,29,41,25
32,4,10,21,37,55,19
39,3,11,34,37,53,23
44,8,9,17,39,50,21
64,36,38,41,43,46,18
2,2,4,8,57,63,16
4,6,23,36,39,67,19
26,4,16,30,54,60,25
29,9,10,15,17,48,22
39,18,21,37,45,50,24
45,1,7,20,29,46,24
2,1,2,5,10,22,21
9,7,10,24,35,39,23
16,2,22,28,49,60,19
20,1,29,32,34,68,20
26,7,14,16,49,57,23
31,6,17,25,28,58,23
34,1,2,6,42,43,22
35,4,9,14,23,34,20
36,5,14,18,24,33,19
44,3,4,18,32,55,25
59,14,19,34,38,44,18
0,10,11,51,57,63,22
2,2,8,16,21,41,24
6,1,2,16,26,49,25
9,6,29,36,46,57,24
13,1,7,13,41,49,24
22,2,15,53,61,64,25
26,3,8,35,52,58,25
43,12,15,16,43,60,17
55,11,28,42,54,61,23
57,10,20,29,34,42,19
23,12,17,22,44,52,21
28,4,5,6,43,55,18
34,13,22,27,33,66,23
40,2,15,18,31,45,20
47,4,15,30,38,41,21
48,8,12,41,60,66,20
49,3,22,36,64,65,24
51,3,9,12,19,46,21
59,7,10,20,27,68,17
10,7,11,15,42,60,23
12,11,27,33,38,45,25
13,26,32,39,58,67,21
21,4,14,16,18,40,19
32,4,6,16,23,35,22
34,15,19,30,39,45,25
37,8,22,26,40,42,21
44,10,18,24,36,56,21
46,2,6,17,42,61,24
51,1,10,24,31,54,21
58,4,11,21,30,56,24
60,4,15,34,41,57,23
61,27,35,37,38,39,13
14,3,6,50,57,66,23
33,19,26,31,39,66,22
21,12,17,24,54,68,19
25,10,15,21,38,43,20
31,8,16,36,50,55,24
36,21,26,32,51,56,20
38,7,17,36,41,45,24
40,1,11,30,43,51,23
41,5,12,31,37,62,22
50,1,16,26,36,57,23
51,7,24,38,49,53,20
56,7,27,31,40,64,25
3,5,20,29,45,49,19
6,5,14,15,35,39,24
10,7,30,43,45,53,23
11,6,19,32,42,54,18
16,8,10,33,52,59,21
19,2,18,29,35,40,20
21,4,6,13,52,56,22
26,11,28,39,44,57,18
32,18,19,38,40,45,23
39,2,14,16,40,52,24
46,15,26,28,56,64,19
49,10,38,41,43,51,21
53,13,22,27,28,40,18
61,21,26,28,45,53,12
64,20,21,25,30,59,15
6,3,6,22,29,54,21
11,5,10,16,23,57,24
16,1,7,28,40,46,19
23,16,22,26,29,60,20
27,2,28,31,42,68,25
28,7,30,45,54,66,24
31,4,13,15,25,35,20
32,16,20,21,36,42,23
38,6,8,31,47,59,23
41,4,8,14,40,51,18
50,14,17,37,45,54,24
56,5,26,28,55,56,22
57,17,23,34,44,64,18
58,9,11,16,17,24,25
2,8,13,37,58,66,25
11,13,16,18,39,43,24
16,13,15,25,61,63,20
21,12,22,34,35,64,20
28,7,21,30,36,65,23
32,19,20,25,40,54,21
33,22,31,33,46,49,24
36,2,3,14,53,54,17
38,29,31,33,35,39,25
48,8,20,49,53,64,25
50,2,21,27,29,56,22
57,7,29,33,48,60,23
58,9,17,31,32,39,21
59,2,10,36,60,66,25
3,6,15,38,45,52,17
7,23,27,36,41,58,25
14,6,11,25,48,55,23
21,14,19,36,44,69,24
25,15,17,26,45,61,21
28,4,8,17,35,36,19
29,4,10,11,59,62,21
32,2,18,20,54,65,21
34,3,4,27,46,54,19
38,4,6,13,43,61,17
53,7,11,14,37,39,22
56,1,2,3,44,47,21
64,4,17,40,45,54,25
0,4,9,22,26,27,24
10,4,13,16,41,55,21
24,6,11,18,27,36,22
40,9,14,15,27,54,21
46,5,14,31,49,62,24
49,5,8,41,43,62,23
50,10,35,36,37,56,25
58,4,15,18,39,42,22
60,8,24,35,37,65,22
6,14,15,33,39,56,20
12,3,12,15,17,59,21
17,5,11,40,59,65,20
20,3,5,13,22,41,25
21,21,24,34,46,47,20
24,2,10,11,39,54,19
26,19,30,47,56,63,23
30,2,3,11,24,48,19
